property_id,location,area_sqft,bedrooms,bathrooms,age_years,price_lakhs,parking_spaces,amenities_count,price_per_sqft,rooms_ratio,amenities_density,age_category,price_category,size_category
1,Hyderabad,875.8621160600844,1,4,2.4266725364834487,483.07402860894456,1,9,55154.1184110086,0.2,10.27558999866892,Recent,Luxury,Compact
2,Chennai,1450.0667415111684,5,2,37.21404696470821,30.858347421008325,1,5,2128.063939239769,1.6666666666666667,3.4481171499660177,Old,Budget,Standard
3,Bangalore,3886.1075191392247,3,4,37.30467310971134,303.18111030852253,3,8,7801.665517882463,0.6,2.0586151980097567,Old,Luxury,Spacious
4,Chennai,730.8223204154701,5,4,33.53628700393616,392.6563816635468,2,2,53728.022625297344,1.0,2.7366432908932046,Old,Luxury,Compact
5,Chennai,2716.409213214302,4,1,32.18168940598103,398.19023026146704,0,7,14658.698266977684,2.0,2.5769313275583268,Old,Luxury,Large
6,Delhi,2489.48165605874,4,4,12.18585660837631,36.45686508473781,2,4,1464.435979916198,0.8,1.60676018249223,Old,Budget,Large
7,Bangalore,2004.805305449369,4,3,1.1172466883145604,455.0792636674108,1,6,22699.424349608187,1.0,2.9928093185363576,Brand New,Luxury,Large
8,Bangalore,2275.5754189351574,5,1,40.43576984427199,460.8568025250186,3,2,20252.319421725602,2.5,0.8788985780730083,Old,Luxury,Large
9,Bangalore,2884.732641186048,5,3,24.556926784791344,289.4673791140989,0,7,10034.461252363593,1.25,2.4265680292375285,Old,Premium,Large
10,Chennai,1226.1531127477242,5,1,15.341906535130915,251.3999354658301,0,1,20503.143763380438,2.5,0.8155588316038844,Old,Premium,Standard
11,Hyderabad,3073.981452276168,1,2,5.096595339028504,41.53638227004791,1,7,1351.2242319904622,0.3333333333333333,2.2771770450393456,Medium,Budget,Spacious
12,Bangalore,4124.445481849938,5,2,3.1360795450694203,289.73798840473694,0,1,7024.895581230491,1.6666666666666667,0.2424568355674979,Recent,Premium,Spacious
13,Chennai,3920.724184055716,4,2,17.443336089758866,216.50195924971075,2,6,5521.98902769423,1.3333333333333333,1.530329530549486,Old,Premium,Spacious
14,Delhi,1192.5495711219814,2,4,40.236853238347024,390.94707555615497,1,1,32782.459113069985,0.4,0.8385395661659365,Old,Luxury,Standard
15,Hyderabad,1171.6226138366326,5,2,45.93618746669152,213.86411210532216,1,6,18253.668850330225,1.6666666666666667,5.1211029295109025,Old,Premium,Standard
16,Delhi,1706.78465485211,2,1,44.83756823065323,348.1187999958607,0,0,20396.175874104316,1.0,0.0,Old,Luxury,Standard
17,Hyderabad,2124.8362685346674,4,2,46.000041737482746,68.67591019401479,1,5,3232.0565688280144,1.3333333333333333,2.353122484796491,Old,Budget,Large
18,Chennai,2338.0501163381714,5,1,45.386267156467134,83.81708996766413,3,9,3584.9141719398876,2.5,3.849361455987822,Old,Budget,Large
19,Mumbai,3558.637475750054,1,3,26.361237580019797,87.06089151159601,2,6,2446.4670004984478,0.25,1.6860385585456075,Old,Budget,Spacious
20,Hyderabad,755.0619447462593,1,4,10.970781927845191,41.85223990387689,1,3,5542.88826169639,0.2,3.973183949838921,Old,Budget,Compact
21,Delhi,656.0271690172988,2,3,39.90232914184102,279.8378524495058,3,0,42656.44254775167,0.5,0.0,Old,Premium,Compact
22,Chennai,2263.597533247591,1,3,10.68564874262895,401.10450850094526,0,5,17719.780244038317,0.25,2.208873232348192,Old,Luxury,Large
23,Hyderabad,3637.236614620912,1,2,13.360363837828451,312.99737777295974,1,3,8605.362007925944,0.3333333333333333,0.8248019905938048,Old,Luxury,Spacious
24,Mumbai,1370.4590433041717,1,2,11.662716091127423,295.978345065371,3,2,21597.02229055808,0.3333333333333333,1.4593650279237877,Old,Premium,Standard
25,Mumbai,3386.7701656531326,4,2,25.749120184790293,346.6994856333135,0,3,10236.876690050007,1.3333333333333333,0.8857997009730524,Old,Luxury,Spacious
26,Bangalore,1669.2266207313476,1,3,16.091375408453995,183.0297550745671,3,5,10964.943453536302,0.25,2.995399149463194,Old,Mid-Range,Standard
27,Bangalore,4487.387489660823,3,4,7.707802481267073,193.73795439114988,0,4,4317.388566009339,0.6,0.8913872513163195,Medium,Mid-Range,Spacious
28,Delhi,4530.604749199774,5,4,22.65867059469412,170.84964714604283,2,1,3771.011964268554,1.0,0.22072108589402478,Old,Mid-Range,Spacious
29,Hyderabad,1837.792419265969,1,3,43.69536193925835,361.81228776971625,1,1,19687.331603763352,0.25,0.5441310941958336,Old,Luxury,Standard
30,Hyderabad,1534.9718928345824,1,4,28.52764274749861,97.58736112197168,2,2,6357.599222338873,0.2,1.302955454322141,Old,Budget,Standard
31,Bangalore,2350.867874298041,1,3,43.91678029437935,26.252134550203703,2,5,1116.6997021490406,0.25,2.126874102396324,Old,Budget,Large
32,Hyderabad,1582.3921333106694,3,3,9.79360925395687,306.17429442679634,1,0,19348.82561544468,0.75,0.0,Medium,Luxury,Standard
33,Hyderabad,3525.7272948126665,1,4,8.348693683627701,472.3430550724186,2,6,13397.038839826542,0.2,1.7017765409218355,Medium,Luxury,Spacious
34,Mumbai,4217.291080467285,1,1,28.77885628492101,312.5158001582263,2,7,7410.34455993962,0.5,1.6598332594164653,Old,Luxury,Spacious
35,Bangalore,3528.9145891004764,5,1,23.166445077313654,395.8023934116296,3,6,11215.981101784615,2.5,1.7002395066550493,Old,Luxury,Spacious
36,Chennai,4209.577012622072,3,2,33.008632082347845,342.9395405436945,0,2,8146.650827753438,1.0,0.4751071174142114,Old,Luxury,Spacious
37,Bangalore,2286.464729933634,3,4,39.73133955133908,258.7695936910478,2,5,11317.453984893034,0.6,2.1867820371517945,Old,Premium,Large
38,Chennai,1203.4263681898738,1,2,37.565364782608825,364.82835285624606,1,3,30315.80182217549,0.3333333333333333,2.49288205684942,Old,Luxury,Standard
39,Mumbai,3820.7792632891646,3,3,47.113058682928056,415.5699794505065,3,4,10876.576499547844,0.75,1.0469068544296252,Old,Luxury,Spacious
40,Delhi,2122.1352731369925,2,1,19.91282045785058,127.87118920241504,0,2,6025.590866947548,1.0,0.9424469897451687,Old,Mid-Range,Large
41,Hyderabad,3520.7187135310965,3,4,10.319337112409038,181.34263063190983,2,4,5150.72760385429,0.6,1.136131661023328,Old,Mid-Range,Spacious
42,Mumbai,1717.8977389179456,3,4,27.54563199739429,127.38835160157626,2,5,7415.362900577221,0.6,2.9105341294350597,Old,Mid-Range,Standard
43,Hyderabad,865.533356630027,3,4,5.53715600955928,237.04301868341167,1,7,27386.930482534357,0.6,8.087498819519391,Medium,Premium,Compact
44,Delhi,4966.618079694935,4,1,14.442556166581571,444.83098444000046,2,5,8956.416162913887,2.0,1.0067212577591864,Old,Luxury,Spacious
45,Delhi,1202.9067856876968,4,2,10.394402763157224,185.69940840095956,1,8,15437.55597777229,1.3333333333333333,6.65055688037077,Old,Mid-Range,Standard
46,Mumbai,4947.894472835665,4,1,19.828185839854047,199.74410678266565,2,9,4036.9516342613356,2.0,1.8189555273279814,Old,Mid-Range,Spacious
47,Delhi,4897.759696549013,3,2,5.560828750110769,432.9762726425273,2,9,8840.292286034462,1.0,1.8375748418897413,Medium,Luxury,Spacious
48,Chennai,4072.1814675861774,2,3,1.5920872274048925,267.3796787574441,1,9,6566.005981946964,0.5,2.21011761672174,Brand New,Premium,Spacious
49,Delhi,3467.403329368989,3,3,32.83970023150159,277.01551983076854,0,9,7989.1346208397645,0.75,2.5956022836368025,Old,Premium,Spacious
50,Hyderabad,3100.131726129881,1,2,30.512448914490243,433.18457759946216,3,3,13973.102302341129,0.3333333333333333,0.9677008156505392,Old,Luxury,Spacious
51,Hyderabad,4397.456954200256,2,3,35.417946801933056,255.45283377222717,1,1,5809.103680440349,0.5,0.2274041589070802,Old,Premium,Spacious
52,Hyderabad,1802.477847287696,4,3,33.0193220135672,347.1476166221097,0,8,19259.466469698087,1.0,4.438334713537874,Old,Luxury,Standard
53,Hyderabad,2604.5654561819465,5,4,5.714734057119175,61.10943961954915,0,2,2346.2431890319995,1.0,0.7678824101936053,Medium,Budget,Large
54,Chennai,3287.2548621492588,2,4,14.553944068782316,105.74322230090496,1,6,3216.7637355555808,0.4,1.8252311584009966,Old,Mid-Range,Spacious
55,Bangalore,2350.35714141271,4,1,6.476330495017618,214.10057634379788,3,3,9109.278439918719,2.0,1.2764017634344773,Medium,Premium,Large
56,Mumbai,2423.689043406206,2,1,42.14862010242816,257.52275255354,1,0,10625.238961827481,1.0,0.0,Old,Premium,Large
57,Hyderabad,1986.28100375938,2,1,37.345182767776166,483.5521765933901,2,7,24344.600571529612,1.0,3.5241740653770997,Old,Luxury,Standard
58,Delhi,3039.0431750804123,3,4,10.07635014591212,485.9127838629392,2,3,15989.005613586982,0.6,0.9871528067121392,Old,Luxury,Spacious
59,Hyderabad,4327.585376068022,1,1,17.06546202449467,428.5746019898056,0,5,9903.319397460436,0.5,1.1553787078703281,Old,Luxury,Spacious
60,Delhi,1406.877701028408,5,1,48.33074961321071,171.48744093707575,2,6,12189.221622584595,2.5,4.264763024969465,Old,Mid-Range,Standard
61,Delhi,4704.948674390486,4,4,29.707967893982573,482.73357959957104,3,7,10260.124243801829,0.8,1.4877951885217604,Old,Luxury,Spacious
62,Hyderabad,3600.894441867033,2,2,40.05777986505786,350.88361504458203,1,9,9744.346042608566,0.6666666666666666,2.4993790141022787,Old,Luxury,Spacious
63,Chennai,4204.729457060135,5,4,13.229551738436458,208.6112613523522,3,1,4961.348012583172,1.0,0.23782742985304467,Old,Premium,Spacious
64,Delhi,3002.8581168350524,2,2,10.50264600896526,356.80396015268786,0,8,11882.145152057717,0.6666666666666666,2.6641285364597334,Old,Luxury,Spacious
65,Delhi,4007.8251564082857,1,4,39.19584644232742,27.93091029753276,2,9,696.9094011716757,0.2,2.2456069436086823,Old,Budget,Spacious
66,Hyderabad,572.9017880276025,5,1,34.29362276157201,90.15424749162251,2,2,15736.422782342384,2.5,3.490999752131407,Old,Budget,Compact
67,Delhi,4182.711911507909,4,3,34.04889646058818,418.2491415470565,1,0,9999.472839530887,1.0,0.0,Old,Luxury,Spacious
68,Delhi,680.6248658841494,2,3,27.631729091459693,329.87534569912214,3,1,48466.54335359986,0.5,1.4692381223847502,Old,Luxury,Compact
69,Hyderabad,4504.610193632881,1,2,28.17891713882744,194.81345662010432,3,7,4324.757265244987,0.3333333333333333,1.5539635393744546,Old,Mid-Range,Spacious
70,Hyderabad,4963.832362573895,5,2,36.78487526531269,260.319987306905,1,9,5244.334785953998,1.6666666666666667,1.8131152187688369,Old,Premium,Spacious
71,Mumbai,1823.3035797955,2,2,13.500124056059764,454.46823182996815,2,5,24925.53828479517,0.6666666666666666,2.7422750963724845,Old,Luxury,Standard
72,Chennai,1446.4335032860713,2,3,17.638423292847786,323.15749254996155,0,0,22341.676393404752,0.5,0.0,Old,Luxury,Standard
73,Chennai,3944.1351373611833,4,2,43.58183852600276,211.1116562884785,0,8,5352.54622207804,1.3333333333333333,2.0283280672153605,Old,Premium,Spacious
74,Delhi,1638.6185341411394,1,4,15.443260050607888,77.7567955508168,1,6,4745.265229870723,0.2,3.6616209782741302,Old,Budget,Standard
75,Chennai,4395.030724274915,3,4,27.315478568964952,160.99846478026927,1,9,3663.1931579233847,0.6,2.0477672545701724,Old,Mid-Range,Spacious
76,Delhi,962.7916647086452,2,3,35.1319732003342,489.60331174236,1,2,50852.46680968319,0.5,2.077292599542009,Old,Luxury,Compact
77,Mumbai,1066.7983837071122,5,4,49.99624134165882,229.9342701688532,3,6,21553.676278532992,1.0,5.624305484181621,Old,Premium,Standard
78,Hyderabad,4906.18199795277,4,2,21.7645665747666,246.48294264553323,2,5,5023.925788900301,1.3333333333333333,1.019122405586743,Old,Premium,Spacious
79,Hyderabad,3532.275042215021,4,3,21.40464383124719,259.32705555056737,2,2,7341.6439108305785,1.0,0.5662073242025454,Old,Premium,Spacious
80,Hyderabad,4310.992509930287,2,2,42.12941897168337,444.3699310151413,1,7,10307.83352073899,0.6666666666666666,1.6237560106809827,Old,Luxury,Spacious
81,Chennai,1959.482198081831,2,4,40.27515556299316,309.88557650494874,0,0,15814.666589382683,0.4,0.0,Old,Luxury,Standard
82,Mumbai,3544.17687284272,2,2,36.55379408672743,352.96497749692264,3,4,9959.011363160773,0.6666666666666666,1.1286118451508524,Old,Luxury,Spacious
83,Chennai,3174.088222888688,3,3,23.161481870451446,206.91850042356992,1,7,6518.990207375416,0.75,2.2053577306144976,Old,Premium,Spacious
84,Chennai,3214.1755405532613,2,2,16.19695600803579,33.96205692270769,3,2,1056.6335439433324,0.6666666666666666,0.6222435504116047,Old,Budget,Spacious
85,Mumbai,3571.396067919747,1,4,30.436524129242432,466.8669988365653,1,9,13072.394939061021,0.2,2.5200229346845546,Old,Luxury,Spacious
86,Mumbai,3089.1162790809435,5,1,43.81116465658205,475.5812868398751,3,5,15395.383141141172,2.5,1.6185858829139226,Old,Luxury,Spacious
87,Mumbai,2430.780661861997,2,3,44.188872910429325,475.59346560706456,0,9,19565.461955039427,0.5,3.7025142338864625,Old,Luxury,Large
88,Mumbai,1741.6521247124608,3,2,5.4249172535219214,472.9698015904239,0,1,27156.38759769602,1.0,0.5741674734069502,Medium,Luxury,Standard
89,Hyderabad,3958.615989109409,5,3,21.41751419065753,411.3161317133893,0,8,10390.402424609145,1.25,2.0209083230121045,Old,Luxury,Spacious
90,Bangalore,1518.225935014338,4,2,23.236097809937476,348.6061040558369,0,1,22961.411474804292,1.3333333333333333,0.6586634946336601,Old,Luxury,Standard
91,Bangalore,3615.594377694864,2,1,48.88076837618766,425.3647607682971,2,4,11764.725694686194,1.0,1.10631879081254,Old,Luxury,Spacious
92,Mumbai,1549.9977019219698,5,4,33.89990076212923,308.2621947204974,2,2,19887.91301679078,1.0,1.2903244937202392,Old,Luxury,Standard
93,Bangalore,3313.9857647950425,4,2,20.362320863103527,84.49741466817133,3,9,2549.721714733955,1.3333333333333333,2.7157630233685133,Old,Budget,Spacious
94,Bangalore,3861.85220208063,3,2,1.30289429927965,207.7847192198821,1,8,5380.442035247621,1.0,2.0715448394658607,Brand New,Premium,Spacious
95,Mumbai,1484.2125000794265,1,1,28.269258004959795,486.22155774701,2,8,32759.564935680723,0.5,5.390063754059399,Old,Luxury,Standard
96,Bangalore,769.7448538758872,2,3,4.803798781917807,188.54615052591504,1,6,24494.62956153988,0.5,7.794790663150615,Recent,Mid-Range,Compact
97,Chennai,1089.3818434737832,1,4,41.72249786738816,436.5573985910573,3,9,40073.86401805432,0.2,8.261566000862572,Old,Luxury,Standard
98,Delhi,3226.986352719615,3,2,37.625933028518105,64.7415059719374,1,4,2006.2528593396453,1.0,1.2395466118500658,Old,Budget,Spacious
99,Delhi,4322.50882801581,5,2,23.02545799540894,180.40824434022545,0,8,4173.692906557682,1.6666666666666667,1.8507770182327874,Old,Mid-Range,Spacious
100,Mumbai,702.4856955594097,5,4,21.460538977084987,188.4575958691422,0,6,26827.250299960626,1.0,8.541099182413994,Old,Mid-Range,Compact
101,Hyderabad,3803.680665687408,3,1,44.86694827843844,44.76922069231048,2,1,1176.9973514382737,1.5,0.2629032476413943,Old,Budget,Spacious
102,Mumbai,2035.9339067752344,3,3,14.42291752090642,77.16527848964239,3,9,3790.16618529952,0.75,4.420575722055398,Old,Budget,Large
103,Hyderabad,2653.3776646378515,2,4,12.45099810533854,112.71930133845008,2,0,4248.14389751919,0.4,0.0,Old,Mid-Range,Large
104,Delhi,4679.867974305045,4,3,46.9598716412881,422.1514835888542,2,9,9020.585322207582,1.0,1.923131175797003,Old,Luxury,Spacious
105,Mumbai,1993.8717713113049,1,1,40.46229183767413,50.43295517110707,2,9,2529.3981236285294,0.5,4.513830893990235,Old,Budget,Standard
106,Chennai,2594.0162027276874,1,1,41.03127965335973,163.37643264530587,3,3,6298.204015592137,0.5,1.1565078108785167,Old,Mid-Range,Large
107,Bangalore,561.570866423065,5,4,9.759690713796276,24.88400124284841,0,9,4431.141772248171,1.0,16.026472415361663,Medium,Budget,Compact
108,Hyderabad,867.1942400217727,5,2,7.1647995715467205,353.9013177934519,0,7,40809.92486580244,1.6666666666666667,8.072009334176679,Medium,Luxury,Compact
109,Bangalore,1663.662160106528,2,1,1.301477490856745,317.7454832208223,2,5,19099.159122575482,1.0,3.005417878639398,Brand New,Luxury,Standard
110,Bangalore,625.3350836948348,3,1,11.852075445934002,329.59148578550804,1,1,52706.38004797274,1.5,1.5991426453980992,Old,Luxury,Compact
111,Mumbai,3341.188967217129,1,4,38.70952458571624,199.703736663017,0,4,5977.026101260891,0.2,1.1971786209181676,Old,Mid-Range,Spacious
